Survey_Id,Collection_Period,Collection_Period_Label,
009,1804,April 2018,
009,1805,May 2018,
009,1806,June 2018,
009,1807,July 2018,
009,1808,August 2018,
009,1809,September 2018,
009,1810,October 2018,
009,1811,November 2018,
009,1812,December 2018,
023,201801,January 2018,
023,201802,February 2018,
023,201803,March 2018,
023,201804,April 2018,
023,201805,May 2018,
023,201806,June 2018,
023,201807,July 2018,
023,201808,August 2018,
023,201809,September 2018,
023,201810,October 2018,
023,201811,November 2018,
023,201812,December 2018,
062,201712,1 January 2017 to 31 December 2017,
063,201712,1 January 2017 to 31 December 2017,
064,201803,1 January 2018 to 31 March 2018,
064,201806,1 April 2018 to 30 June 2018,
064,201809,1 July 2018 to 30 September 2018,
064,201812,1 October 2018 to 31 December 2018,
065,201803,1 January 2018 to 31 March 2018,
065,201806,1 April 2018 to 30 June 2018,
065,201809,1 July 2018 to 30 September 2018,
065,201812,1 October 2018 to 31 December 2018,
066,201803,March 2018,
066,201806,June 2018,
066,201809,September 2018,
066,201812,December 2018,
073,201801,January 2018,
073,201802,February 2018,
073,201803,March 2018,
073,201804,April 2018,
073,201805,May 2018,
073,201806,June 2018,
073,201807,July 2018,
073,201808,August 2018,
073,201809,September 2018,
073,201810,October 2018,
073,201811,November 2018,
073,201812,December 2018,
074,201801,January 2018,
074,201802,February 2018,
074,201803,March 2018,
074,201804,April 2018,
074,201805,May 2018,
074,201806,June 2018,
074,201807,July 2018,
074,201808,August 2018,
074,201809,September 2018,
074,201810,October 2018,
074,201811,November 2018,
074,201812,December 2018,
134,201801,January 2018,
134,201802,February 2018,
134,201803,March 2018,
134,201804,April 2018,
134,201805,May 2018,
134,201806,June 2018,
134,201807,July 2018,
134,201808,August 2018,
134,201809,September 2018,
134,201810,October 2018,
134,201811,November 2018,
134,201812,December 2018,
137,201801,January 2018,
137,201802,February 2018,
137,201803,March 2018,
137,201804,April 2018,
137,201805,May 2018,
137,201806,June 2018,
137,201807,July 2018,
137,201808,August 2018,
137,201809,September 2018,
137,201810,October 2018,
137,201811,November 2018,
137,201812,December 2018,
139,1803,9 March 2018,
139,1806,15 June 2018,
139,1809,14 September 2018,
139,1812,14 December 2018,
141,201803,The pay period that includes 18 April 2018,
199,201712,Data as at 31 December 2017,
221,201712,December 2017,
225,201812,1st January 2017 to 31st December 2017,
500,201812,6th April 2017 to 5th April 2018,
,,,,
