survey_code,survey_period,mps,go_live,reference_period_start,reference_period_end,return_by,reminder,exercise_end
134,201801,190118,250118,010118,310118,070218,130218,290220
134,201802,160218,220218,010218,280218,070318,130318,310320
134,201803,210318,260318,010318,310318,090418,110418,300420
134,201804,200418,260418,010418,300418,080518,140518,310520
134,201805,150518,240518,010518,310518,080618,120618,300620
134,201806,210618,260618,010618,300618,090718,120718,310720
134,201807,200718,260718,010718,310718,080818,130818,310820
134,201808,170818,240818,010818,310818,070918,120918,300920
134,201809,190918,250918,010918,300918,081018,111018,311020
134,201810,191018,251018,011018,311018,081118,141118,301020
134,201811,211118,261118,011118,301118,071218,111218,311220
134,201812,121218,171218,011218,311218,080119,140119,310121
